limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,14,14,0,45,45,0,0,0,0,5,5,1.0
5,1,9,11,11,0,46,46,0,0,0,0,5,5,1.0
5,2,12,17,17,0,52,52,0,0,0,0,5,5,1.0
5,3,16,15,15,0,54,54,0,0,0,0,5,5,1.0
10,0,0,25,25,0,72,72,0,0,0,0,5,5,1.0
10,1,13,14,15,1,52,52,0,1,0,0,5,5,0.8182
10,2,18,24,24,0,78,78,0,0,0,0,5,5,1.0
10,3,29,20,20,0,71,71,0,0,0,0,5,5,1.0
20,0,0,68,68,0,172,175,3,0,0,3,5,5,0.9412
20,1,34,56,56,0,140,140,0,0,0,0,5,5,0.9394
20,2,61,57,57,0,157,159,2,0,0,2,5,5,0.9429
20,3,85,58,58,0,153,156,3,0,0,3,5,5,0.9412
