limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,19,19,0,47,47,0,0,0,0,4,4,1.0
5,1,11,26,26,0,51,55,4,0,0,4,3,3,0.8182
5,2,18,22,22,0,47,47,0,0,0,0,3,3,1.0
5,3,23,28,28,0,61,61,0,0,0,0,3,3,1.0
10,0,0,34,34,0,76,79,3,0,0,4,4,4,0.8889
10,1,18,59,59,0,117,117,0,0,0,0,3,3,0.92
10,2,39,54,54,0,109,109,0,0,0,0,3,3,0.9167
10,3,58,38,38,0,73,73,0,0,0,0,3,3,0.875
20,0,0,88,89,1,162,163,1,1,0,1,4,4,0.9444
20,1,36,87,87,0,175,177,2,0,0,0,3,3,0.9412
20,2,66,81,82,1,174,175,1,0,0,0,3,3,0.9394
20,3,93,75,75,0,145,146,1,0,0,0,3,3,0.9355
