session_id,complete,planned_cards,answered_sentences,distinct_rating1,distinct_rating2
0b96b2a5-644b-4f70-8da7-1b1ee3d1146e,False,15,1,1,0
0bd80e83-0576-47ba-8aa7-8abbc7717712,True,13,26,16,4
0c1c9e4e-1a13-44b8-b087-94501453802b,True,13,18,6,3
1810f086-cded-4c93-a43b-dfba36b1a28b,True,10,13,3,2
20e1bc37-c71b-460d-9243-208fc0ffd9e6,False,11,4,0,1
212ae410-8ee9-4a4b-b749-853b4c9aa8b9,True,12,21,10,2
26a4df62-2887-4c2c-8fab-646085f17791,False,11,7,4,0
2b672b42-1b37-4bd5-8bf5-3a7be517a4b5,True,12,20,8,2
3efc1d12-d4ea-418f-a0d2-b6fd9dc8df96,True,8,6,4,0
50eaf1cf-b3b9-44ee-bf68-4e21e7ea2ef4,False,12,5,1,3
582b0699-bf59-40d6-970a-a7658a91aa35,True,11,16,6,3
58be3a78-21ee-4940-ba15-92a17ac80c1e,True,12,20,9,0
5c109f74-1791-4eba-8978-dfc6e01e7a4f,True,10,11,3,1
5c2f65fe-51e9-4cea-a308-c057f305ed1a,False,11,9,8,3
6a8ba24c-af1a-44b9-8a52-76c6f391cb41,True,10,17,7,0
83ccea07-cfae-47be-a082-0ee0883702ce,True,10,16,8,1
844f883e-98e7-4e10-ae79-9a97140f20e8,True,10,15,5,3
85de4653-47ba-4158-b686-af2f632c944f,False,12,5,5,2
8f531990-4556-4f53-a60e-e3d965782a50,True,7,12,5,0
adc20c9a-06a3-456d-a703-78eb852d0d43,False,13,4,1,1
c6b24dc7-d75b-4524-a427-7e8422f98cc8,True,14,19,7,7
cba607be-988c-4c14-a609-a726b52c6f96,True,6,7,2,0
ce2af706-78d7-452b-9c2c-8193f352cbce,False,10,7,2,1
d95ce563-8c27-4af9-b775-2bf4a0b16d84,True,12,18,6,3
de5ca1d1-fd94-406e-b79d-50f8d07411cc,True,1,2,1,0
e02d5d27-fa7f-481a-855e-022056867292,False,12,10,5,3
e1b8c90e-666e-4b52-9d71-a913f836da40,False,13,0,0,0
ea30bbb9-e689-4e6d-b322-2f0a6863cd03,True,13,25,12,7
eebddfe0-8c8a-4f4d-a110-21fd58bc8720,False,11,0,0,0
ef563feb-758a-400d-a811-95cd7d39414f,False,11,2,1,0
f3694d2a-9ddc-430c-b2e7-14509b4f187a,True,10,15,6,3
f85139f4-4b78-4a5d-a3c7-c2b054f01553,False,10,2,0,0
fffe00b6-7dd6-442a-b718-62116668078c,False,13,10,5,2
