limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,24,24,0,55,55,0,0,0,0,5,5,1.0
5,1,10,10,10,0,30,30,0,0,0,0,5,5,1.0
5,2,13,25,25,0,55,55,0,0,0,0,5,5,1.0
5,3,20,20,20,0,39,39,0,0,0,0,5,5,1.0
10,0,0,46,46,0,89,89,0,0,0,0,5,5,1.0
10,1,18,50,50,0,120,120,0,0,0,0,5,5,1.0
10,2,40,50,51,1,91,95,4,1,0,4,5,5,0.8889
10,3,52,33,33,0,70,73,3,0,0,3,5,5,0.8571
20,0,0,93,93,0,167,170,3,0,0,3,5,5,0.9429
20,1,35,80,81,1,168,172,4,1,0,4,5,5,0.9412
20,2,66,75,75,0,140,142,2,0,0,2,5,5,0.9355
20,3,92,76,76,0,154,156,2,0,0,2,5,5,0.9355
